location,site,year1stTag,tag,plot,dah.yr0,dah.yr1,dah.yr1.max,height.yr0,height.yr1,stems.yr0,stems.yr1,yr0,dens.cont.yr0,densEffect.yr0,dah.superclass.yr0,mortality.yr1,name,nhlc
unh,eff,2010,210,34,0.44,0.57,NA,74,104,1,1,2010,8,1,A,NA,eff34,NA
unh,eff,2010,211,34,0.35,0.48,NA,57,91,1,1,2010,8,7,A,NA,eff34,NA
unh,eff,2010,214,34,0.58,0.75,NA,95,120,1,1,2010,8,1,B,NA,eff34,NA
unh,eff,2010,213,35,0.23,0.36,NA,29,41,1,1,2010,1,0,A,NA,eff35,NA
unh,eff,2010,338,44,0.98,0.45,NA,110,106,1,2,2010,5,3,B,NA,eff44,NA
unh,eff,2010,339,44,0.25,0.26,NA,52,55,1,1,2010,5,4,A,NA,eff44,NA
unh,eff,2010,212,49,2.29,2.48,NA,390,401,1,1,2010,7,0,C,NA,eff49,NA
unh,eff,2010,215,51,0.21,0.26,NA,34,44,1,1,2010,4,3,A,NA,eff51,NA
unh,eff,2010,216,51,0.48,0.51,NA,103,120,4,4,2010,4,1,A,NA,eff51,NA
unh,eff,2010,217,51,0.54,0.68,NA,124,139,5,4,2010,4,1,B,NA,eff51,NA
unh,eff,2010,218,51,0.39,0.41,NA,52,51,6,4,2010,4,3,A,NA,eff51,NA
unh,eff,2010,219,61,0.51,0.61,NA,114,119,1,1,2010,2,0,B,NA,eff61,NA
unh,eff,2010,220,61,0.19,0.26,NA,34,50,3,3,2010,2,1,A,NA,eff61,NA
unh,eff,2010,221,62,1.39,1.45,NA,211,255,2,2,2010,18,0,B,NA,eff62,NA
unh,eff,2010,222,62,0.93,1,NA,123,156,1,1,2010,18,6,B,NA,eff62,NA
unh,eff,2010,223,62,0.61,0.81,NA,118,144,2,3,2010,18,6,B,NA,eff62,NA
unh,eff,2010,224,62,0.25,0.38,NA,49,60,1,1,2010,18,17,A,NA,eff62,NA
unh,eff,2010,225,62,0.3,0.42,NA,51,67,1,1,2010,18,17,A,NA,eff62,NA
unh,eff,2010,226,63,0.91,1.02,NA,153,167,1,1,2010,12,2,B,NA,eff63,NA
unh,eff,2010,227,63,0.66,0.74,NA,124,143,1,1,2010,12,2,B,NA,eff63,NA
unh,eff,2010,228,63,0.38,0.45,NA,57,76,1,1,2010,12,11,A,NA,eff63,NA
unh,eff,2010,229,66,0.71,0.83,NA,140,148,1,1,2010,7,4,B,NA,eff66,NA
unh,eff,2010,230,66,0.37,0.59,NA,61,100,1,1,2010,7,6,A,NA,eff66,NA
unh,eff,2010,231,66,1.23,1.27,NA,195,227,1,1,2010,7,-1,B,NA,eff66,NA
unh,eff,2010,232,76,0.86,0.94,NA,144,161,1,1,2010,12,0,B,NA,eff76,NA
unh,eff,2010,233,76,0.23,0.28,NA,35,43,1,1,2010,12,11,A,NA,eff76,NA
unh,eff,2010,234,76,0.42,0.48,NA,59,76,1,1,2010,12,11,A,NA,eff76,NA
unh,eff,2010,235,77,0.67,0.77,NA,119,139,1,1,2010,30,8,B,NA,eff77,NA
unh,eff,2010,236,77,0.7,0.84,NA,139,170,2,2,2010,30,8,B,NA,eff77,NA
unh,eff,2010,237,77,0.34,0.39,NA,55,65,1,1,2010,30,29,A,NA,eff77,NA
unh,eff,2010,238,77,0.37,0.42,NA,40,63,1,1,2010,30,29,A,NA,eff77,NA
unh,eff,2010,239,82,0.23,0.27,NA,26,41,1,1,2010,11,10,A,NA,eff82,NA
unh,eff,2010,240,82,0.59,0.68,NA,147,157,2,3,2010,11,1,B,NA,eff82,NA
unh,eff,2010,241,82,0.24,0.32,NA,28,45,1,1,2010,11,10,A,NA,eff82,NA
unh,eff,2010,242,84,3.46,3.98,NA,401,401,1,1,2010,14,0,C,NA,eff84,NA
unh,eff,2010,243,84,0.79,0.75,NA,170,186,2,2,2010,14,3,B,NA,eff84,NA
unh,eff,2010,244,84,0.28,0.3,NA,41,50,1,1,2010,14,13,A,NA,eff84,NA
unh,eff,2010,245,84,1.16,1.25,NA,240,252,1,1,2010,14,0,B,NA,eff84,NA
unh,eff,2010,246,85,0.65,0.7,NA,140,84,5,5,2010,1,-1,B,NA,eff85,NA
unh,eff,2010,340,88,3.19,3.42,NA,401,401,2,2,2010,8,1,C,NA,eff88,NA
unh,eff,2010,341,88,0.33,0.36,NA,53,57,1,2,2010,8,7,A,0,eff88,NA
unh,eff,2010,342,88,0.38,0.38,NA,59,69,1,1,2010,8,7,A,NA,eff88,NA
unh,eff,2010,247,92,0.44,0.46,NA,68,50,2,2,2010,23,22,A,NA,eff92,NA
unh,eff,2010,248,92,0.9,0.93,NA,170,189,5,5,2010,23,5,B,NA,eff92,NA
